Sim,Iter,Covs,T Setting,T Drop Setting,DGP,Binary Dose,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,0,10,a,a,informed,False,0.398,0.221,0.351,0.699,0.699,0.719,0.574,0.552,0.573,0.404,0.5,0.663,0.663,0.576,0.58,0.456,0.492,0.492,0.492,0.328,0.596,0.667,0.518,0.798,0.799,0.518,0.799,0.775,0.88,0.492,0.357,0.908,0.378,0.546,0.971,0.509,0.4,0.478,0.454,0.452,0.579,0.573,0.572,0.595,0.576,0.531,0.893,0.664,0.447,0.83,0.321,0.189,0.871,0.639,0.261,0.603,0.799,0.97
0,1,10,a,a,informed,False,0.385,0.225,0.36,0.467,0.467,0.52,0.588,0.424,0.413,0.512,0.375,0.466,0.466,0.603,0.421,0.436,0.527,0.52,0.52,0.341,0.526,0.625,0.499,0.794,0.794,0.499,0.794,0.782,0.892,0.43,0.294,0.938,0.744,0.413,0.981,0.623,0.384,0.415,0.385,0.382,0.558,0.531,0.537,0.549,0.539,0.494,0.932,0.711,0.407,0.881,0.375,0.218,0.927,0.624,0.287,0.644,0.796,0.981
0,2,10,a,a,informed,False,0.39,0.195,0.347,0.793,0.793,0.805,0.687,0.606,0.507,0.348,0.396,0.68,0.68,0.554,0.676,0.557,0.51,0.507,0.507,0.338,0.587,0.682,0.563,0.804,0.804,0.528,0.804,0.774,0.887,0.423,0.258,0.929,0.468,0.578,0.972,0.53,0.373,0.445,0.426,0.422,0.544,0.515,0.517,0.556,0.53,0.474,0.883,0.697,0.405,0.813,0.344,0.181,0.876,0.645,0.258,0.605,0.797,0.966
0,3,10,a,a,informed,False,0.403,0.197,0.37,0.687,0.687,0.789,0.574,0.556,0.358,0.325,0.363,0.497,0.497,0.589,0.717,0.71,0.514,0.521,0.521,0.353,0.53,0.605,0.525,0.792,0.792,0.525,0.792,0.771,0.901,0.441,0.34,0.964,0.713,0.437,0.977,0.532,0.398,0.563,0.524,0.521,0.589,0.589,0.57,0.615,0.59,0.562,0.87,0.726,0.436,0.82,0.36,0.189,0.879,0.673,0.287,0.586,0.789,0.976
0,4,10,a,a,informed,False,0.389,0.187,0.354,0.504,0.504,0.539,0.403,0.469,0.333,0.372,0.395,0.49,0.49,0.507,0.599,0.528,0.518,0.518,0.518,0.351,0.564,0.63,0.523,0.786,0.789,0.523,0.788,0.772,0.89,0.478,0.265,0.92,0.427,0.493,0.973,0.583,0.378,0.406,0.388,0.373,0.578,0.565,0.56,0.594,0.559,0.524,0.874,0.747,0.54,0.813,0.348,0.213,0.886,0.702,0.299,0.626,0.802,0.97
0,5,10,a,a,informed,False,0.409,0.227,0.364,0.776,0.776,0.789,0.611,0.584,0.676,0.471,0.556,0.71,0.71,0.657,0.515,0.507,0.516,0.516,0.516,0.35,0.567,0.689,0.519,0.792,0.792,0.519,0.792,0.76,0.878,0.49,0.373,0.947,0.477,0.497,0.972,0.462,0.385,0.508,0.472,0.457,0.612,0.602,0.593,0.619,0.596,0.546,0.859,0.755,0.478,0.777,0.355,0.218,0.867,0.62,0.3,0.606,0.802,0.971
0,6,10,a,a,informed,False,0.39,0.211,0.358,0.776,0.776,0.793,0.66,0.56,0.405,0.393,0.462,0.575,0.575,0.606,0.641,0.505,0.516,0.516,0.516,0.346,0.56,0.637,0.515,0.795,0.795,0.515,0.795,0.779,0.878,0.589,0.346,0.923,0.67,0.437,0.972,0.62,0.399,0.508,0.466,0.454,0.577,0.552,0.563,0.611,0.586,0.54,0.837,0.725,0.541,0.793,0.337,0.208,0.824,0.706,0.352,0.613,0.796,0.973
0,7,10,a,a,informed,False,0.398,0.202,0.36,0.61,0.61,0.794,0.537,0.502,0.505,0.313,0.366,0.598,0.598,,,0.451,0.501,0.502,0.502,0.338,0.534,0.652,0.517,0.791,0.791,0.517,0.791,0.757,0.895,0.441,0.39,0.938,0.522,0.435,0.971,0.572,0.322,0.524,0.495,0.485,0.589,0.579,0.577,0.611,0.59,0.555,0.849,0.727,0.514,0.821,0.325,0.204,0.91,0.681,0.307,0.611,0.792,0.972
0,8,10,a,a,informed,False,0.417,0.245,0.375,0.795,0.795,0.798,0.629,0.566,0.522,0.42,0.445,0.657,0.657,0.541,0.622,0.635,0.519,0.519,0.519,0.352,0.572,0.66,0.515,0.796,0.796,0.515,0.796,0.785,0.893,0.443,0.385,0.959,0.587,0.445,0.981,0.597,0.389,0.505,0.473,0.47,0.591,0.578,0.562,0.632,0.606,0.578,0.871,0.738,0.469,0.751,0.355,0.199,0.854,0.7,0.33,0.61,0.802,0.978
0,9,10,a,a,informed,False,0.396,0.234,0.364,0.746,0.746,0.628,0.613,0.569,0.492,0.367,0.397,0.585,0.585,0.655,0.484,0.455,0.527,0.518,0.518,0.332,0.601,0.685,0.519,0.804,0.804,0.519,0.804,0.779,0.901,0.555,0.35,0.936,0.597,0.518,0.971,0.649,0.398,0.492,0.471,0.452,0.583,0.586,0.583,0.619,0.593,0.558,0.897,0.748,0.473,0.849,0.374,0.227,0.889,0.651,0.309,0.613,0.814,0.971
