Sim,Iter,Covs,T Setting,T Drop Setting,DGP,Binary Dose,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,0,10,a,a,informed,False,3.070173939490944,2.24678838030879,2.7774835332351873,6.4165879208761964,6.4165879208761964,8.246003343319055,5.186999069076697,4.937603642494688,3.967263667343965,4.227896427381015,4.499314342309697,5.761653850118862,5.761653850118862,4.0414423104674,5.222214401934114,3.9753060916944865,3.5301862184627844,3.5301862184627844,3.5301862184627844,2.8607236000336194,6.064147039332593,8.08335914995377,3.6808799031630053,9.412365991158376,9.427046362984681,3.6808799031630053,9.427046362984681,8.969485993955978,9.775374902753194,4.112609333855453,2.851043336383634,9.493652963489842,3.610769424611982,4.267548937759428,13.703511028525183,3.819561756235853,3.132442282127619,3.670572551038828,3.4942581533105193,3.4180533536519735,4.181986687114623,4.133760461479834,4.110210322229133,4.2960762514959345,4.105065888328185,3.8358967741226846,8.37149555062248,5.026761899273972,3.4263469142947542,6.878717889782245,2.9176430184013475,2.1483367739426766,8.289859035796741,4.813438286440277,2.427871506466471,4.699163934016586,9.453336479167577,13.023024029351921
0,1,10,a,a,informed,False,3.056317345492443,2.283659574280868,2.819958305578045,3.8979873392833397,3.8979873392833397,4.021267926100308,4.13336552600885,3.303792436539056,3.2832386416025265,4.786880970657527,3.188837099187715,3.5940005109449933,3.5940005109449933,4.643844240249384,3.3543213127081195,3.376835229840675,3.8104334557406236,3.788705653112804,3.788705653112804,2.8301143510755633,5.493432279408777,7.747180277584599,3.676360585011318,9.073751689295966,9.288822811268648,3.676360585011318,9.288822811268648,8.603735283338368,9.467931397989489,3.848753663167095,2.635437123028444,10.583861735369652,6.12128003730761,3.344271849598267,13.776261182162854,4.992002878163275,3.100237702832224,3.308391031237604,3.1400454217767053,3.094463570656903,4.033659626161666,3.9196197954254437,3.906159085983308,3.8824021162402063,3.751780113346142,3.5922796895726443,10.028380048658512,5.768801172477824,3.2143513751606205,8.296351961525199,3.3524779136520397,2.2469212212510064,9.773097992332017,5.039648915317769,2.622599450496193,5.258301080747025,9.256064368164036,14.288530524384061
0,2,10,a,a,informed,False,2.914804125470243,2.1550102856221938,2.7165547514957336,6.823057050057843,6.823057050057843,7.3490067188290915,6.413632105251032,5.547918769872106,3.8820893646235195,3.1050883988968883,3.1367223820107717,5.8551838866493435,5.8551838866493435,4.138883225092302,5.976107937870642,4.7379998565045645,3.5894068554517617,3.582300582935705,3.582300582935705,2.805022427600237,5.332854864221142,7.783400059532942,5.009525387790734,9.130729403785992,9.20967128450711,3.6393269204798955,9.20967128450711,8.856647586721888,10.860397639459588,3.4738374516471033,2.4490828173849954,11.064221818830509,4.689844992928249,5.484385506533475,13.545399804378938,3.880115497171216,2.9456923568813798,3.3227676707286493,3.1882692194757114,3.1382228050679095,3.6637955964510347,3.5905076419503996,3.5172226430929743,3.9662885445893727,3.776525225280048,3.3245349856201805,8.986530509262831,5.2390010056066005,3.1168807542218877,6.590559930061207,2.9764684086166233,2.129329169872784,7.980341227808635,4.677132327125074,2.4279590394665713,4.738344512171218,8.823085855600496,13.407230448796236
0,3,10,a,a,informed,False,3.020070549671407,2.181776417861043,2.7874703386929114,6.182453540568255,6.182453540568255,7.3126584206534035,4.472187029986146,4.764101587933629,2.833980147650463,2.9624053740660004,3.0641736668909636,3.7466911288014852,3.7466911288014852,4.397475751164519,6.004698862316258,5.973922044654719,3.5967954748306674,3.618302272343364,3.618302272343364,2.849745925116787,4.380340070479447,6.796693512338859,3.663718841309403,9.256536407206106,9.256536407206106,3.663718841309403,9.256536407206106,8.669827105585854,11.301733445423487,3.3171598478045854,2.7193693653196087,12.470789892321262,6.264266446011676,3.5458081231913057,13.635635711089252,3.891163059047088,3.1337325603000536,4.020401204365369,3.7562599532197063,3.731125101891843,4.044568899421519,4.02946458383122,3.9417072611963677,4.306054288564559,4.182853693876885,3.917342264870548,8.233752805822041,5.209689284701544,3.2675660135874955,7.027429451315836,3.1551457396291442,2.1709546665944415,8.386882150155742,4.810179935057948,2.5929884592198498,4.5773824635880755,9.230412754611026,13.343024613181239
0,4,10,a,a,informed,False,3.0428184374573166,2.22877089235946,2.7936189354988414,4.128906960676356,4.128906960676356,3.975326822197518,3.2344742761437173,3.4493968528087624,3.017582137393499,3.1267155794146637,3.3557088493639964,3.4823265530197283,3.4823265530197283,3.613511973795375,5.395171269082475,4.4177815343606825,3.6822505215540073,3.6822505215540073,3.6822505215540073,2.9247927568072924,6.043255089200015,7.620495806814208,3.709448827396891,8.964269573423307,9.35655846016208,3.709448827396891,9.35123497833771,8.672432022803735,11.031467701801448,3.9216014795433467,2.4984184736282313,11.148582423228952,4.394961468216765,3.8551249409682637,13.908499909767858,4.433357817850626,3.1127099116250467,3.2346942120167386,3.1061588040066006,2.9953401848313463,4.045945359544042,3.999798300098289,3.9639176127328954,4.183511785808153,3.9673956996344737,3.690031046982061,8.721028572660803,6.224273451036918,4.331134865932182,7.257112844996948,3.0311134197957506,2.2810900592237235,8.697316484455238,5.297373740525003,2.6740817236806964,4.9715608871861825,9.456470641137107,13.753916666101404
0,5,10,a,a,informed,False,3.099887742412274,2.2608201189352455,2.837142020881861,6.642428275235746,6.642428275235746,6.9082464066426725,7.27166942350236,5.018968971718216,4.769021045133049,4.57925455959908,5.076478218816735,6.139404299125843,6.139404299125843,4.9186338237887615,4.64124586703329,4.520215145075486,3.6551932095730013,3.654528436943622,3.654528436943622,2.972298897155252,5.866708780271588,8.144775323525614,3.677942527453302,9.335072921814541,9.63744526495673,3.677942527453302,9.63744526495673,9.151550774493566,10.364113493874083,3.9346817735766426,2.8269584248301043,12.002234121705406,4.366061500267412,3.827105053345063,13.671718941295294,3.327441313257763,3.1020344687526746,3.7061784329008067,3.477566627823718,3.417601599204631,4.268172605366598,4.2072586100526985,4.134868683115489,4.422290510694455,4.1717547913727655,3.792348522671501,7.70166510388007,6.243752733412713,3.628954393422428,6.126054101092244,3.0439736438704963,2.2556525216503167,7.963376040614832,4.6186910643334835,2.6069014835137607,4.750233850854645,9.816003610722394,13.510682864811487
0,6,10,a,a,informed,False,3.138626572341856,2.2612363015602517,2.85397995659196,6.488784288746351,6.488784288746351,6.516887651294176,6.693739920265642,5.311123282311364,3.523922380299508,3.0934837757252707,3.5763628620419015,4.750914510394841,4.750914510394841,4.830711461388188,5.529932406135998,4.348946288384948,3.7704968467672324,3.7704968467672324,3.7704968467672324,2.9261293141316145,5.557266874897094,7.483514159567321,3.7344601871786116,9.213156803580086,9.603262533336949,3.7344601871786116,9.603262533336949,8.694576348516105,9.748768809963263,4.559129447417445,2.912859737344016,11.097827873829864,5.695706937454099,3.647238096354897,13.96283546684111,4.760961920675252,3.110623739302633,3.8214201464725774,3.5592984219869424,3.492371943197354,4.232357516945677,4.086969606940941,4.10202917444825,4.532535058381569,4.334002827346074,4.014726087155001,7.969569823131346,5.824222197051052,4.424704627587916,6.44471522783747,3.19048153103251,2.282177983809472,7.8852392278587216,5.723898717837643,2.9199705004209484,4.95326968752603,9.53990808262427,14.144678761966759
0,7,10,a,a,informed,False,3.062935415468057,2.2132339181033127,2.801985764106991,5.610093229753108,5.610093229753108,7.252935896729465,4.02382111370972,4.095614257607177,3.723768455483988,3.200804487262754,3.3988159370956255,5.267968473358319,5.267968473358319,,,3.4947726362544502,3.664719104069824,3.6716167269592934,3.6716167269592934,3.195830284460305,5.500031292124183,7.955745490866121,3.757072504091538,9.838481855140564,9.838481855140564,3.757072504091538,9.838481855140564,9.406237275558594,10.719742044466468,3.5901878473863835,3.100462993652403,11.51181093336008,5.158125367535335,4.309671366815106,13.966742215677103,4.185818296326218,2.918409699357142,3.878077711875746,3.66915669406268,3.622969935036359,4.067549018490919,4.0805967972070105,4.031673577484911,4.338302823812919,4.101418247212284,3.862780515704962,8.086254276115785,5.732940793304383,3.827893997587679,6.688231525803073,3.0207528852478793,2.2344156197255742,9.076216113750423,4.99773817472664,2.7338892716278873,4.903974615662294,9.670512340880077,13.595628460959468
0,8,10,a,a,informed,False,3.076970862895884,2.3246234465274718,2.7947036179317912,7.3315353614311904,7.3315353614311904,8.779715166287623,6.985149528228703,5.196970987555406,3.6460467966568815,4.574805636514751,3.5343061289260063,5.2320077315765054,5.2320077315765054,3.8086117320389223,5.183225445650075,5.81892574345715,3.7896105898217365,3.7896105898217365,3.7896105898217365,2.9908814132975756,5.697185242886482,7.955651762484019,3.7480893295963926,9.342351881419729,9.436751403978432,3.7480893295963926,9.436751403978432,9.0909136241479,9.87371327751842,3.6662096138291878,3.088073640637835,10.674858687720631,4.8196098268878425,3.370524250712994,13.975670966712034,4.7320291400419086,3.088115802242325,3.747221797265885,3.536571748569713,3.5116602957368617,4.262131878640231,4.163843473888832,4.0237914186910215,4.6582339666571,4.383273067240197,4.078092039874355,8.142899503287087,5.461192097602588,3.4339685465899397,5.990926382814808,2.943291326126518,2.2091767639974638,8.614481421641003,4.834090140123249,2.7202312579150654,4.790477637418027,9.400286241820597,14.171613427202779
0,9,10,a,a,informed,False,3.0901011799661466,2.3333687905657223,2.9288321703812916,7.016505148679592,7.016505148679592,6.665837954409132,5.700980113233969,5.806061192758673,3.5370299386315738,5.248399510154789,3.421918979558858,5.380845625610218,5.380845625610218,5.0308902822614145,3.5981985387944784,3.3913646278674965,3.698948969764152,3.654371163611856,3.654371163611856,3.0080026580539547,6.263457620903747,8.365872460557407,3.6451946926363377,9.363341546656377,9.363341546656377,3.6451946926363377,9.359651656064273,9.065428997728404,10.349430142823232,4.6455919695821635,2.829874216959886,11.325971617109516,5.354656598952419,5.640731659068288,13.588975828206475,6.10370813386286,3.099084871648225,3.7253635466149713,3.5550486464717364,3.4795811179253127,4.161833721844434,4.172848005490648,4.150885548355254,4.421482720534424,4.230259379772093,3.9370000427675027,8.912990868115468,6.037313531773012,3.4782452150980627,7.175956461814137,3.1919932372075035,2.3187778514155575,8.635021187913907,4.914220283790833,2.7212695650727077,4.914247938616312,9.5917672792887,13.558658615155558
0,10,10,a,a,informed,False,3.0169157594254137,2.2822711907376547,2.8300818108977785,5.891355464481572,5.891355464481572,4.9433605348065175,4.496460572903212,4.5134796511207975,3.909418192135812,3.7793356241571123,3.5229605939799495,3.561403898397303,3.561403898397303,4.909795244102894,4.315322548886856,4.210177665740564,3.6623721886051723,3.6623721886051723,3.6623721886051723,3.01000149080322,5.60927315579755,8.272385478459533,3.7148099982716585,9.289979140051067,9.5063376294001,3.7148099982716585,9.501216961307742,9.213820390673645,9.980476903194235,4.202241822958072,2.769356636812706,10.736937670345291,6.159494783523778,3.703338507928537,13.849285339674038,4.52997969672082,3.243744306865267,3.6091016757180676,3.4101742580469487,3.3558177112267655,3.932521504811421,3.86350712345968,3.8537769305027973,4.063584943373243,3.9597663062653727,3.682978359568803,7.796881598317408,5.175446813701448,3.3390975722868372,6.1674971278839035,3.1154869402590935,2.2408687325337127,7.6093660272880825,4.67704536942133,2.5314020177423036,4.954565535576264,9.659025230397095,13.569470518419765
0,11,10,a,a,informed,False,3.141043196216944,2.29729290556616,2.876393405279158,6.221610319685458,6.221610319685458,6.711805893856663,6.170662376517571,3.783794710539155,3.797634606883028,5.391197611168935,4.870636176969017,5.831110505179945,5.831110505179945,4.346902700135002,5.701571705823699,3.580365002881923,3.75775412172439,3.75775412172439,3.75775412172439,2.8770890876941184,5.402632264074544,7.578165543499303,3.741536424391884,9.424026355838826,9.424026355838826,3.741536424391884,9.424026355838826,8.71821947723772,10.154006133263783,3.8505420697018233,2.6521130852447174,11.831478745170875,4.3540860384144,3.794742371230471,13.99265117412188,5.49947436418029,3.2514121960283116,4.0028620844050495,3.7412914789159797,3.642110971698167,4.226672525246962,4.184900077505391,4.137116506395774,4.526097627160825,4.2945979150028615,4.121128384899606,8.434788450775608,5.85452671257917,3.6714014255496545,7.225574178986463,2.9358251925728607,2.362954420033991,8.704454529572946,4.6142013483121564,2.8096230894421197,5.146020570601555,9.69666662980091,13.980586733521653
0,12,10,a,a,informed,False,3.0985320274434662,2.2863560014688056,2.8514876680508996,6.852035415641511,6.852035415641511,6.891827362101732,5.3629157698468015,5.261882801016462,3.650804091478079,3.9698747976734445,5.363417197558085,4.435359905397399,4.435359905397399,3.790280321947038,6.106834263578791,5.542870857310301,3.764033712738936,3.764033712738936,3.764033712738936,2.8765641727469005,5.42444562900631,8.183959122955844,5.457563077081742,9.355507306107677,9.454136431907964,3.6742595187866214,9.454136431907964,8.80186912454899,10.65030758168913,4.016015295436033,2.8272084230957146,11.539240184994322,4.081910277731551,4.347614989131586,13.708994434882994,5.88401063144263,2.8430389525334747,3.963110387827326,3.7198859701051292,3.6068694730161805,4.130266363175227,4.1095909045661,4.009293013103287,4.442468733728247,4.066407540913373,3.677949809223737,8.834096571157707,5.652003138221742,3.546082419717681,6.757321617522141,3.0025510693085065,2.273488034486168,8.272231243674513,5.25699512946789,2.8079602823515994,4.9551744814889025,9.353063516794014,14.142416741350777
0,13,10,a,a,informed,False,3.2384639793207457,2.2949193044474905,2.9245769918746256,5.903288032825065,5.903288032825065,5.372821923238535,3.7767469796861883,3.9397179823659982,3.8639290943723834,3.1604034362628077,3.7991157260093043,5.378889119969606,5.378889119969606,4.317036313294707,3.4504754708247933,3.3055244896048657,3.8048743190263616,3.746087128503135,3.746087128503135,2.927076466219687,5.828960751650405,8.136738337336103,3.7072454612211607,9.819852056561734,9.627605751508503,3.7072454612211607,9.750576713988595,9.091792669632586,9.720537623598126,3.9302142157227298,2.9524571436946627,10.751515914929483,3.72199517144934,4.146762868070538,13.759269100300687,3.669824313461166,3.113491355907871,3.8663881086568255,3.6524404557345176,3.5744402593844287,4.294925532302685,4.237461667816011,4.185707638477914,4.540974367375378,4.264417523600592,3.8881704425032404,8.916055155131037,6.483912139731341,4.321092216344625,7.550647969275403,3.222023493805176,2.442460776803944,9.59435115074091,5.763549118139847,3.0283521170551095,4.9987923059635975,9.95989599122395,13.885715950566228
0,14,10,a,a,informed,False,3.067205675582539,2.2710005358274907,2.8011281700726336,6.571678046420955,6.571678046420955,7.378921200453506,6.251371512980675,4.839410110524185,3.1155832224091733,4.660352031498073,3.5736290427961848,5.412032835826443,5.412032835826443,3.792384968633456,4.778562033019609,5.208935379647457,3.7628474368776863,3.7628474368776863,3.7628474368776863,2.8749940489643473,4.806256142683393,7.48171041218809,3.7374764964753138,9.020480624528087,9.439144849453786,3.7374764964753138,9.430846291435357,8.588708116386812,11.28458514937526,3.5027059547675643,2.6255221273530496,12.402416038827793,4.380580629309489,5.436361381851754,13.957862650514924,5.334373060425655,3.1597991117547704,3.734434644692159,3.5161568932830556,3.405812411287762,3.959921008945797,3.930233652436763,3.8977547218911526,4.255339005763787,4.222915252499228,3.936876836344424,10.533358208581872,5.853757231119401,3.720317193186493,7.344270235495945,3.1340223764098702,2.185365057710579,9.67868250491459,5.521864463294995,2.691065219693612,4.97632061981358,9.559836545705876,14.036084747442994
0,15,10,a,a,informed,False,3.0586012468844137,2.2623933196694557,2.8079308718448424,6.454592432883812,6.454592432883812,5.534939498291506,4.983181463704918,3.888130086542703,3.945947798699954,4.837506489715187,2.9528102903726157,4.942207198489664,4.942207198489664,3.9965250626709197,4.840566663045546,4.754961183548557,3.7254720763135447,3.7254720763135447,3.7254720763135447,2.988344839052798,5.19702367755909,7.602180119441845,3.7086466259237567,9.18139805859923,9.28556729632706,3.7086466259237567,9.28556729632706,8.959637155857568,10.949184745684985,3.3608400706333224,2.6302241665935364,12.940779183485002,5.231922693169739,4.5185284287757295,13.868131273582717,4.351625429676058,3.131978082803939,3.664716659506945,3.4853718267221447,3.384409215789037,3.995298672886808,3.8510263214880167,3.773757631265915,4.180026310768236,4.087466079883369,3.6727528935117135,9.328240139682661,5.032638611484328,3.054927068247747,7.602673518250701,2.9869752140753354,2.1852697841801074,10.022614272244184,4.425121719859953,2.454703257775719,4.994720710008671,9.40560017813996,13.907710459953252
0,16,10,a,a,informed,False,3.0681976988582655,2.223001011956265,2.7932604780522796,6.653909544372672,6.653909544372672,7.943537985535226,7.193868995032837,5.3713014180216225,2.990535299124707,4.3003104895546045,2.939950533339356,5.635511114210983,5.635511114210983,3.5621446273210937,,,3.5966043148151807,3.5966043148151807,3.5966043148151807,2.9103194946161715,5.603795310963567,7.981924056882666,3.701976055700368,9.52967394762641,9.6465058612201,3.701976055700368,9.6465058612201,9.322611607963173,9.78847924043777,3.6514375964569146,2.7292711093297166,9.74119016217314,4.0866258588152435,7.404178846477623,13.73981900790328,5.414734796557932,3.1127695352245164,3.6961626251412047,3.4808989794696212,3.4280378876939137,3.938258442887611,4.020336265280572,3.9098320576693535,4.283950119444799,4.142794839063647,3.8590764312876957,8.7959841082285,5.457708486672238,3.453383193416872,7.141725467174685,3.087663447240388,2.2122351532689866,8.582824031421357,4.971017660002121,2.691127446114624,4.850121134877405,9.78361714423084,13.233664312264455
0,17,10,a,a,informed,False,2.966888312886719,2.233103561874192,2.771048530662029,6.008572621126949,6.008572621126949,5.5112355084366484,3.843623749300263,4.049840524533051,2.7077234859196815,3.498058895785107,3.024629971390301,4.882922487214569,4.882922487214569,,3.998251613710387,3.4593731728491126,3.522685011271119,3.522685011271119,3.522685011271119,3.024533211964138,5.728335071231352,8.168132812978916,7.110055229774385,9.421252576417729,9.421252576417729,3.6313422144445635,9.421252576417729,9.194613575694728,9.59001970396065,3.917371779556752,2.6573602022635003,10.015397624704823,4.2453889898903965,4.406556754505255,13.480483442440455,3.4688868686003684,3.0450236355792275,3.3911622213681545,3.234002590689043,3.160955778642359,3.739470857864706,3.712822177918782,3.7025358881325023,3.938938855678715,3.899170976440638,3.6393838445350792,8.554184127767622,5.949289152055264,3.434754885348313,6.611150454260164,2.9687052459009844,2.151949348970402,8.022512611521808,4.8987264111487026,2.531815728569179,4.691187435763209,9.398572452640177,12.99831545042452
0,18,10,a,a,informed,False,3.1076382228868527,2.278279784583222,2.8349110492140888,6.958299048292881,6.958299048292881,8.05522136291062,5.597531656920509,5.222136190965513,3.517548832045659,3.6005770301999833,3.8865404540408948,5.186661031692052,5.186661031692052,,3.802495245817125,3.8849504610554018,3.6726430099853826,3.6737161757185692,3.6737161757185692,2.8245332223520423,5.452563181348974,7.822473305160425,3.712431497511739,9.31060177362828,9.378213139333658,3.712431497511739,9.378213139333658,8.955227578954581,11.004146760515917,3.8707203669130674,2.6868495880160674,9.119067413302835,6.831095818738482,4.097177308930192,13.89213216918362,3.838278306047745,3.1688043896525304,3.780781480442212,3.5736448706106207,3.501768147556733,4.1893229222776,4.133436542848958,4.141443489837531,4.324815867754465,4.15641236399539,3.9381147406546164,9.899943541406897,6.373679997536292,3.6520742572962153,7.354413558936119,3.134027538255686,2.2920304641291773,9.679246250435423,5.494390138091554,2.6078831043537254,4.940454198921322,9.272300753942291,13.743786932872737
0,19,10,a,a,informed,False,2.993508024192197,2.197069626090203,2.676830722590062,5.617541364926881,5.617541364926881,6.883738993148017,6.786677319565951,5.279432605761304,3.4199775515669173,2.911173012642059,3.211917170277605,4.580867819517695,4.580867819517695,4.110088063569135,4.020066114454858,3.601242491427896,3.676637906221681,3.5832776039947967,3.5832776039947967,3.021632940050971,5.250578953968229,6.745332543651114,3.7230063981886214,9.24117018533379,9.24117018533379,3.7230063981886214,9.24117018533379,9.009471864749608,9.529773545376507,3.2975790031550005,2.5209334496165368,11.548906933282984,4.249584250078083,3.570814115257174,13.91081919452034,3.4138147041556066,2.9469986359350298,3.387721609202023,3.176234955686866,3.1223862405285923,3.8544058944003896,3.7695415624667077,3.7614744862345395,4.102774932390107,3.76990159570825,3.507899685634757,8.76637915177817,4.70804333492728,2.9745414358653584,6.948556689827185,2.8367966917442713,2.1396194925574523,9.063190282280473,4.112618570573575,2.3110843562132453,4.912001546563634,8.99831889136891,13.390231113165434
1,0,10,a,b,informed,False,3.0288718097020007,2.2033828013094863,2.7620703650008487,4.0726423612007325,4.0726423612007325,3.8168152885668976,6.265293878242708,5.441730720648738,4.0701620215073815,3.5174248147097056,3.542483369084709,4.593460095138616,4.593460095138616,3.5301862184627844,5.8204359356271445,5.584624669776433,3.5301862184627844,3.5301862184627844,3.5301862184627844,3.219459073308692,5.400976853257745,7.3447594574294515,3.6834817664120285,8.781930605307474,9.431077478918986,3.6834817664120285,9.42502418956137,9.2929182875464,10.068426110189968,3.809560446613193,2.76784465002805,11.50512996355073,4.97936600415913,3.8850491856909475,13.716116557985483,3.4208830554647522,3.202970631541198,3.5979116943429257,3.496905139160549,3.4514526229021225,3.903071566981073,3.886901241611591,3.8847704106486964,3.9803821675766957,3.832129812233307,3.580684881078801,8.285857345825221,5.381683255247209,3.3854773055505176,6.802806813751005,3.234789116921368,2.2906881982464684,8.622653947056408,4.929694635360411,2.7515819507896797,4.699163934016586,9.453336479167577,13.023024029351921
1,1,10,a,b,informed,False,3.1070754660711697,2.2290388653617272,2.8372570146711746,4.313577341000771,4.313577341000771,3.88991524698544,5.1536510987141035,4.503001175855079,3.151962880973389,3.795492448371464,3.1870348703255975,4.9334747155145795,4.9334747155145795,3.788705653112804,4.466551376534303,5.98049622962381,3.788705653112804,3.788705653112804,3.788705653112804,2.8625399697841853,5.944482742032435,7.156437783286028,3.7022261332390425,9.387708205673363,9.387708205673363,3.7022261332390425,9.384585098037148,9.073894759573433,10.77072268563369,3.8362824383573857,2.7948029868133717,12.588017428614519,5.590311600894333,6.513382663683632,13.862752726485576,4.720952917074253,2.957450536485364,3.7832717693827784,3.591478652234396,3.5687241412457906,4.150674097477412,4.092803638486563,4.0601124626050344,4.11744544716029,4.067326864485782,3.7454439871889242,9.70307786203569,6.5479939601854555,4.512744280497068,7.8682952697600514,3.354660915850442,2.5420634001740883,9.701857298416732,5.60866007464814,3.5516185347460647,5.258301080747025,9.256064368164036,14.288530524384061
1,2,10,a,b,informed,False,2.9323318327591403,2.093307986893877,2.7119372351006383,4.969388424780955,4.969388424780955,4.346210764154997,4.825063594565616,5.242050625901636,3.424464739951404,3.210424400039621,3.1015339543072997,5.204063365194777,5.204063365194777,3.582300582935705,4.873633565210344,5.996821307544858,3.582300582935705,3.582300582935705,3.582300582935705,2.910823978764367,5.440416791893972,7.035549387073626,3.640863696378254,9.29136096318712,9.29136096318712,3.640863696378254,9.288074549072979,8.958875200684751,10.36710447677566,3.753979137215154,2.6040053040647644,12.392474331571242,4.709158582074223,3.6933381197783364,13.528901912083816,4.067807583404507,3.0622966035387162,3.730080277486428,3.6004876616899693,3.5501254988149427,4.158524918630452,4.1622064885108525,4.100631524238384,4.179028053815554,4.059830471004309,3.7899953239209667,8.40466507481292,5.927229206906767,3.026719090704078,7.251363360929952,3.268817098725456,2.2219166059066544,8.703383480858276,5.738156255162888,2.6524502579935683,4.738344512171218,8.823085855600496,13.407230448796236
