Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,0.39505,0.21539999999999998,0.3605,0.69395,0.69395,0.7163999999999999,0.6012500000000001,0.5406500000000001,0.4641,0.4128,0.43405000000000005,0.5951000000000001,0.5951000000000001,0.5788235294117647,0.5709444444444444,0.5230526315789474,0.5169,0.51475,0.51475,0.34500000000000003,0.5634,0.65125,0.5213,0.7986000000000001,0.7991,0.5191,0.799,0.7777000000000001,0.88735,0.47190000000000004,0.32475,0.9296,0.56395,0.49375,0.97455,0.5728,0.38275000000000003,0.48855000000000004,0.45940000000000003,0.44785,0.57555,0.5636,0.5588,0.5998,0.5792499999999999,0.53955,0.88465,0.7243,0.47125000000000006,0.8202999999999999,0.3487,0.20445000000000002,0.88565,0.6607000000000001,0.29725,0.6115999999999999,0.80145,0.97385
1,10,a,b,False,informed,0.3977,0.20565000000000003,0.3571,0.54045,0.54045,0.55275,0.55995,0.52195,0.44325000000000003,0.43470000000000003,0.41579999999999995,0.5686,0.5686,0.5115789473684211,0.6037894736842105,0.6177222222222222,0.5143500000000001,0.5143500000000001,0.5143500000000001,0.35395,0.5487,0.58295,0.4852,0.7955500000000001,0.7989,0.5197,0.7974500000000001,0.7485,0.8945500000000001,0.47874999999999995,0.3309,0.9410499999999999,0.5583,0.50805,0.97475,0.5208,0.38915,0.5063157894736843,0.48747368421052634,0.48089473684210526,0.5723684210526315,0.5656315789473684,0.5602631578947368,0.5744736842105262,0.5609473684210526,0.5316315789473685,0.8958421052631579,0.6842,0.4213684210526316,0.8295789473684211,0.3976842105263158,0.2292105263157895,0.882842105263158,0.6523157894736842,0.32094736842105265,0.6115999999999999,0.80145,0.97385
2,10,b,a,False,informed,0.27605,0.20525000000000002,0.2385,0.6747058823529413,0.6747058823529413,0.7096,0.60495,0.71575,0.5684,0.5322,0.6778500000000001,0.6320588235294118,0.6320588235294118,0.5617333333333333,,,,,,0.39370000000000005,0.5787,0.6922499999999999,0.6626,0.7987,0.7988500000000001,0.70945,0.78095,0.6534500000000001,0.9967499999999999,0.5044000000000001,0.304,0.99685,0.66625,0.54835,0.99695,0.6754,0.4394,0.26725,0.2636,0.25405,0.24125000000000002,0.2454,0.23609999999999998,0.2821,0.26985000000000003,0.23654999999999998,0.80145,0.6475,0.2929,0.2926,0.36505,0.17675000000000002,0.80145,0.52035,0.20045000000000002,0.7957500000000001,0.80145,0.9967499999999999
3,10,b,b,False,informed,0.27904999999999996,0.2041,0.23965,0.7531176470588236,0.7531176470588236,0.7491,0.593,0.56895,0.6032,0.5147,0.45705,0.7241764705882353,0.7241764705882353,0.6733,,,0.7205,,,0.39765,0.5906,0.69025,0.70915,0.79805,0.799,0.70915,0.79145,0.6422000000000001,0.9965999999999999,0.47395,0.367,0.9939500000000001,0.61785,0.5625,0.99695,0.66815,0.4144,0.27265,0.2726,0.26230000000000003,0.2395,0.24195000000000003,0.23184999999999997,0.26815,0.26835,0.23515000000000003,0.8032999999999999,0.76755,0.4492,0.3106,0.48250000000000004,0.18080000000000002,0.7957,0.60595,0.25105,0.7957500000000001,0.80145,0.9967499999999999
4,10,a,a,True,informed,0.3638,0.36075,0.3403,0.42946666666666666,0.42946666666666666,0.5173,0.3503,0.3149,,,,0.46773333333333333,0.46773333333333333,0.6389333333333334,0.6368666666666667,0.6136666666666667,0.5143500000000001,0.5143500000000001,0.5143500000000001,0.71685,0.44905,0.3355,0.5192,0.7922,0.797,0.5191,0.799,0.55415,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6045499999999999,0.80145,0.5143500000000001
5,10,a,b,True,informed,0.3624,0.49610000000000004,0.33904999999999996,0.4527,0.4527,0.50675,0.49939999999999996,0.4968,,,,0.49715,0.49715,0.41655,0.56765,0.4895263157894737,0.5143500000000001,0.5143500000000001,0.5143500000000001,0.70555,0.48360000000000003,0.382,0.5196,0.7948000000000001,0.78535,0.5197,0.79005,0.55005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6045499999999999,0.80145,0.5143500000000001
6,10,b,a,True,informed,0.39155,0.3469,0.35225,0.6285294117647059,0.6285294117647059,0.6092000000000001,0.5883499999999999,0.6673,,,,0.654,0.654,0.5174000000000001,,,0.708,0.723,0.723,0.35629999999999995,0.48769999999999997,0.32165,0.70945,0.7923500000000001,0.7985,0.70945,0.79225,0.34615,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6012,0.80145,0.70455
7,10,b,b,True,informed,0.3883,0.345,0.35245000000000004,0.6080909090909091,0.6080909090909091,0.5283,0.60995,0.52165,,,,0.725909090909091,0.725909090909091,0.6820909090909091,0.741,0.7,0.704125,0.724,0.724,0.3608,0.48295000000000005,0.32185,0.70915,0.79335,0.7984,0.70915,0.7957500000000001,0.34975,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6012,0.80145,0.70455
8,100,a,a,False,informed,0.3921,0.198,0.3528,,,0.6782,0.6132,0.5366500000000001,0.51045,0.41100000000000003,0.43615000000000004,,,0.6395500000000001,0.6845625,0.6624444444444444,0.55765,0.5133,0.5133,0.36445,0.56425,0.63285,0.52085,0.7966,0.7973000000000001,0.51385,0.7973000000000001,0.7973000000000001,0.9332,0.49275,0.40205,0.9451,0.5467500000000001,0.47555000000000003,0.9738999999999999,0.7686,0.49770000000000003,0.39039999999999997,0.38245,0.3752,0.54565,0.5433,0.54635,0.5616,0.55655,0.5529499999999999,0.9738,0.73375,0.73185,0.9252,0.45355,0.44715,0.9738,0.73505,0.73735,0.60715,0.7988000000000001,0.9738
9,100,a,b,False,informed,0.39245,0.19835,0.3516,0.55565,0.55565,0.5993,0.6207,0.5338499999999999,0.54115,0.4591,0.5182,0.57885,0.57885,0.5095,0.6623,0.6718500000000001,0.5095,0.5095,0.5095,0.38415,0.5620999999999999,0.5915999999999999,0.4568,0.79695,0.79695,0.51405,0.79695,0.79695,0.8781000000000001,0.5034,0.4274,0.9400000000000001,0.55565,0.46345000000000003,0.9736,0.6704,0.48245000000000005,0.4147368421052631,0.3970526315789473,0.3952105263157895,0.5467368421052632,0.5480526315789473,0.5488421052631579,0.5707894736842105,0.5665263157894737,0.5585263157894736,0.9684736842105263,0.8025263157894736,0.7856842105263159,0.9307894736842105,0.4686315789473684,0.501,0.9737368421052632,0.8077894736842106,0.7911578947368421,0.60715,0.7988000000000001,0.9738
