Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,0.397,0.2145,0.36,0.7215,0.7215,0.7215,0.599,0.554,0.4895,0.3985,0.40549999999999997,0.608,0.608,0.576,0.582,0.505,0.516,0.5165,0.5165,0.344,0.5645,0.658,0.5185,0.7995000000000001,0.8,0.5185,0.8,0.779,0.8875,0.4505,0.3285,0.937,0.5375000000000001,0.483,0.974,0.5774999999999999,0.385,0.5,0.4685,0.453,0.5785,0.565,0.562,0.6105,0.59,0.549,0.886,0.7264999999999999,0.4685,0.8165,0.348,0.1985,0.8875,0.6735,0.2985,0.6105,0.798,0.973
1,10,a,b,False,informed,0.3995,0.203,0.3565,0.533,0.533,0.5714999999999999,0.558,0.5275000000000001,0.4325,0.4405,0.417,0.566,0.566,0.516,0.598,0.608,0.516,0.516,0.516,0.353,0.552,0.5854999999999999,0.516,0.798,0.799,0.519,0.797,0.752,0.897,0.4825,0.331,0.946,0.54,0.5125,0.9755,0.513,0.3855,0.509,0.495,0.489,0.572,0.562,0.561,0.578,0.559,0.532,0.896,0.684,0.393,0.826,0.39,0.221,0.881,0.642,0.305,0.6105,0.798,0.973
2,10,b,a,False,informed,0.2745,0.20350000000000001,0.2365,0.671,0.671,0.708,0.607,0.7244999999999999,0.5635,0.54,0.679,0.631,0.631,0.551,,,,,,0.3955,0.5754999999999999,0.6975,0.708,0.7995000000000001,0.7995000000000001,0.711,0.7835000000000001,0.654,0.997,0.5245,0.292,0.997,0.6825000000000001,0.592,0.9975,0.681,0.441,0.2645,0.261,0.2515,0.2425,0.246,0.2345,0.2895,0.2695,0.236,0.798,0.6325000000000001,0.2865,0.2935,0.365,0.176,0.798,0.522,0.1995,0.7945,0.798,0.997
3,10,b,b,False,informed,0.28200000000000003,0.205,0.2395,0.752,0.752,0.747,0.5905,0.567,0.586,0.5205,0.4305,0.729,0.729,0.684,,,0.7205,,,0.401,0.5914999999999999,0.6944999999999999,0.711,0.7975000000000001,0.7985,0.711,0.7955000000000001,0.6435,0.997,0.46599999999999997,0.357,0.997,0.647,0.557,0.9975,0.676,0.415,0.273,0.2735,0.263,0.2405,0.242,0.23249999999999998,0.2685,0.2685,0.234,0.8005,0.723,0.444,0.267,0.485,0.18,0.795,0.6034999999999999,0.254,0.7945,0.798,0.997
4,10,a,a,True,informed,0.367,0.3595,0.344,0.353,0.353,0.4505,0.349,0.3165,,,,0.446,0.446,0.645,0.606,0.616,0.516,0.516,0.516,0.723,0.446,0.335,0.5185,0.7945,0.7995000000000001,0.5185,0.8,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6074999999999999,0.798,0.516
5,10,a,b,True,informed,0.3645,0.4985,0.34,0.4925,0.4925,0.5065,0.4985,0.496,,,,0.499,0.499,0.3645,0.563,0.51,0.516,0.516,0.516,0.703,0.484,0.38,0.519,0.798,0.7925,0.519,0.791,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6074999999999999,0.798,0.516
6,10,b,a,True,informed,0.3935,0.3505,0.3575,0.622,0.622,0.6,0.587,0.666,,,,0.658,0.658,0.5115000000000001,,,0.708,0.723,0.723,0.3575,0.4865,0.322,0.711,0.794,0.7995000000000001,0.711,0.792,0.3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,0.798,0.7055
7,10,b,b,True,informed,0.387,0.351,0.358,0.603,0.603,0.5175000000000001,0.61,0.521,,,,0.737,0.737,0.69,0.741,0.7,0.7035,0.7115,0.7115,0.359,0.4835,0.3235,0.711,0.795,0.7985,0.711,0.7965,0.3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,0.798,0.7055
8,100,a,a,False,informed,0.395,0.196,0.356,,,0.687,0.612,0.54,0.5115000000000001,0.4005,0.435,,,0.6445000000000001,0.6890000000000001,0.667,0.526,0.513,0.513,0.3635,0.566,0.6375,0.518,0.798,0.798,0.515,0.798,0.798,0.9325000000000001,0.493,0.396,0.9515,0.547,0.4925,0.974,0.795,0.501,0.3875,0.3805,0.3775,0.5455000000000001,0.5425,0.547,0.56,0.5615000000000001,0.5515000000000001,0.974,0.719,0.738,0.926,0.411,0.447,0.974,0.7375,0.744,0.603,0.801,0.974
9,100,a,b,False,informed,0.3945,0.1975,0.352,0.5515000000000001,0.5515000000000001,0.581,0.604,0.5355000000000001,0.5375000000000001,0.4595,0.5225,0.576,0.576,0.518,0.6645000000000001,0.674,0.513,0.513,0.513,0.384,0.5654999999999999,0.5894999999999999,0.5045,0.798,0.798,0.5125,0.798,0.798,0.9265000000000001,0.5,0.43,0.9484999999999999,0.544,0.461,0.9735,0.71,0.4875,0.413,0.395,0.395,0.549,0.552,0.552,0.573,0.572,0.562,0.973,0.803,0.785,0.929,0.441,0.491,0.974,0.802,0.796,0.603,0.801,0.974
10,100,b,a,False,informed,0.278,0.2055,0.238,,,0.659,0.601,0.7355,0.542,0.517,0.7224999999999999,,,0.539,,,,,,0.404,0.602,0.6924999999999999,0.711,0.7975000000000001,0.7975000000000001,0.712,0.7975000000000001,0.784,0.997,0.5065,0.3805,0.997,0.648,0.6185,0.9975,0.796,0.4845,0.272,0.271,0.2605,0.232,0.2305,0.2245,0.2625,0.2705,0.2555,0.801,0.761,0.755,0.3125,0.484,0.3345,0.801,0.674,0.342,0.7945,0.801,0.998
11,100,b,b,False,informed,0.277,0.201,0.2375,,,0.7175,0.639,0.681,0.622,0.5285,0.636,,,0.5325,,,0.6355,,,0.405,0.6234999999999999,0.692,0.71,0.7975000000000001,0.7985,0.71,0.7985,0.795,0.997,0.4875,0.3605,0.997,0.6295,0.5674999999999999,0.9975,0.7985,0.4655,0.2765,0.273,0.267,0.235,0.2325,0.228,0.2655,0.269,0.2595,0.799,0.7605,0.767,0.25,0.406,0.293,0.725,0.718,0.449,0.7945,0.801,0.998
12,100,a,a,True,informed,0.36,0.386,0.3365,,,0.4165,0.3335,0.3405,,,,,,0.5145,0.78,0.7795000000000001,0.513,0.5165,0.5165,0.706,0.455,0.3495,0.5155000000000001,0.795,0.798,0.515,0.798,0.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597,0.801,0.513
13,100,a,b,True,informed,0.3665,0.498,0.3385,,,0.5105,0.511,0.5015000000000001,,,,,,0.483,0.746,0.7264999999999999,0.515,0.514,0.514,0.6884999999999999,0.5055000000000001,0.4275,0.5125,0.797,0.796,0.5125,0.798,0.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597,0.801,0.513
14,100,b,a,True,informed,0.3865,0.341,0.348,,,0.632,0.6025,0.7255,,,,,,0.4855,,,0.7004999999999999,,,0.3515,0.4915,0.323,0.712,0.7905,0.7975000000000001,0.712,0.7975000000000001,0.7865,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5974999999999999,0.801,0.7084999999999999
15,100,b,b,True,informed,0.383,0.34199999999999997,0.348,,,0.606,0.629,0.6245,,,,,,0.6515,,,0.7084999999999999,0.818,0.818,0.353,0.492,0.319,0.71,0.7925,0.7985,0.71,0.7985,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5974999999999999,0.801,0.7084999999999999
