Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,0.012613589163237694,0.015618477586028136,0.013008094645865302,0.09471646052686325,0.09471646052686325,0.08231863637559142,0.07397145608807139,0.04349624908208207,0.09134083078460066,0.07049643514689982,0.07758694613481264,0.06986972840485657,0.06986972840485657,0.048289796145404316,0.09295379764556169,0.0902006859324809,0.01034102713009028,0.010720737405902443,0.010720737405902443,0.012401188398061312,0.022859755489782273,0.028423257711729124,0.03135887350286073,0.006176355593799031,0.0061976226341872095,0.01233266949375134,0.006249210476448024,0.009032689172345707,0.008112855295925826,0.055652966062726135,0.04259586710863909,0.03004978325519519,0.11223447026555379,0.07488297888249232,0.0037201443095947937,0.06920724026619726,0.02274081653859653,0.03957733934303421,0.036411970270054994,0.03576572160750099,0.024273604897848203,0.026426462017016976,0.02400131575340685,0.024025425129049822,0.02453542015342843,0.029972750782563885,0.02192877225545427,0.03318227174101762,0.052847222702507475,0.03101799138360966,0.020214898101725814,0.0193675664857242,0.02381789464380002,0.04364099955437849,0.03985219402267651,0.01301577989656362,0.009116064478652295,0.004246050796731143
1,10,a,b,False,informed,0.01340109971921001,0.011103697819337389,0.011289958276926313,0.038302775768590834,0.038302775768590834,0.05012182527024579,0.03522629848938371,0.02557440126376375,0.09876334020486069,0.02451444257446705,0.042905771909591536,0.0262466037903252,0.0262466037903252,0.017824190146706956,0.03715818878998339,0.04037297517130745,0.010683361387050241,0.010683361387050241,0.010683361387050241,0.012050223845922619,0.028388470602656545,0.027178697153236883,0.06199117084841917,0.010684346641601205,0.006239939270959557,0.011881431776205771,0.006739319034786141,0.021695257788888266,0.012705054940952908,0.043098265931656575,0.035700361195283206,0.02282536677517036,0.08850518866740319,0.07376383010377748,0.004037651740671469,0.08505143954349657,0.013577361188467568,0.03419722638457189,0.03134462282620352,0.0335209631538271,0.02558691185898625,0.02634221480251334,0.024992981470945325,0.02182090847750445,0.020624887027867092,0.01911140010661404,0.017484161587927212,0.03965728180296779,0.08772571555473711,0.02095581539407163,0.03649513305691741,0.03289305726706275,0.027629016868130078,0.05106537490922675,0.06760052077725973,0.01301577989656362,0.009116064478652295,0.004246050796731143
2,10,b,a,False,informed,0.01375528606524931,0.010300102196733671,0.010840955483234561,0.04045022358696297,0.04045022358696297,0.05599097671664791,0.029823118902164356,0.04938343532208473,0.060966254686722524,0.03172679425476533,0.06050165286998365,0.03172237102628702,0.03172237102628702,0.0388853014218312,,,,,,0.011571744170949114,0.03575368954093372,0.02887153943719808,0.11350974917554321,0.006578273649714389,0.006515366451704757,0.0092022594479491,0.012613589163237713,0.021330667322450394,0.0023367769075779425,0.06305085666599454,0.07060639601264701,0.002230765740608753,0.07741132448094878,0.10728087826870762,0.0022820812292383675,0.03167499428820618,0.014604973918425707,0.014476387307394208,0.013441491145350135,0.01426617272468429,0.014839048770761983,0.014776937935067683,0.014082090155864455,0.018716443656792668,0.015570806016388477,0.013375055336826017,0.009116064478652295,0.08470040079442859,0.04088739350176802,0.01705224171094291,0.06083409276142172,0.01228552850008154,0.009116064478652295,0.055776126754996824,0.015578240560068662,0.0077857832651976365,0.009116064478652295,0.002291287847477917
3,10,b,b,False,informed,0.013907495139407066,0.010156149290998668,0.011824483965595779,0.0328155495781748,0.0328155495781748,0.056091935812181554,0.037825082182399355,0.04379314414019862,0.09011956969551764,0.06715582821436941,0.0774579512414724,0.036466140620645696,0.036466140620645696,0.04317662623030636,,,0.067175144212722,,,0.012600229738924763,0.03903089194876016,0.02971775120768909,0.009874342083346496,0.0053946854939789955,0.006112971540309346,0.009874342083346496,0.010718773496214867,0.019869574731231694,0.0023485717944496036,0.05264926150329276,0.0875743293316868,0.009659873596209071,0.09962576024936098,0.09965334652526332,0.0022820812292383675,0.04205043963722865,0.01522947281114035,0.013003137273264785,0.01325618028654837,0.013730871862531644,0.013547188482835612,0.014013057820250524,0.012621097625133797,0.014833372757684638,0.014079754034932933,0.011908753967255837,0.011416055176350186,0.09825234696540598,0.06493202923867873,0.09992649930402792,0.12407489249388219,0.010262860994356002,0.012524082065323067,0.0627765251130003,0.029188092381005396,0.0077857832651976365,0.009116064478652295,0.002291287847477917
4,10,a,a,True,informed,0.016240300749094903,0.01860637977740571,0.01855319521353609,0.16945284496480623,0.16945284496480623,0.17688685054219505,0.03690257443593875,0.02033896959559473,,,,0.1260473078233875,0.1260473078233875,0.04407374772010248,0.11143214890472054,0.13758875923078404,0.010683361387050241,0.010683361387050241,0.010683361387050241,0.04410307901890038,0.018551422133030522,0.014720197367097886,0.0125177768330525,0.012915107432770375,0.0097170495847031,0.01233266949375134,0.006249210476448023,0.02689213346139093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01831155804115906,0.009116064478652295,0.010683361387050241
5,10,a,b,True,informed,0.01439444337235727,0.013466918531603367,0.018033521418093643,0.07692039630956835,0.07692039630956835,0.039238642339300925,0.012824319003157145,0.00803675765991551,,,,0.017354735437489766,0.017354735437489766,0.08321846644762651,0.053082135958293294,0.06907352638155681,0.010683361387050241,0.010683361387050241,0.010683361387050241,0.03303502925524261,0.018169957854135287,0.016134304740945127,0.01189604091593856,0.008709341627180971,0.0241492617300253,0.011881431776205771,0.008500619172495024,0.013971681886474593,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01831155804115906,0.009116064478652295,0.010683361387050241
6,10,b,a,True,informed,0.013982978374099219,0.01513413708353263,0.015433644042190824,0.04571667864010195,0.04571667864010195,0.05988989898138083,0.032881405719726524,0.033521556301014784,,,,0.026485845276298048,0.026485845276298048,0.013777598565142721,,,0.0028284271247461927,0.012727922061357866,0.012727922061357866,0.012515674383074927,0.019746018919212422,0.011155716023635609,0.0092022594479491,0.010757005061574407,0.0068862945501611626,0.0092022594479491,0.007503507951548283,0.013188012898481935,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013828270052019509,0.009116064478652295,0.008816700659901935
7,10,b,b,True,informed,0.014725917002989903,0.013917047478769169,0.015377615310300184,0.07505924932405673,0.07505924932405673,0.064273347181353,0.047205569475154995,0.027985475556174914,,,,0.031091653366955383,0.031091653366955383,0.021658506621900504,,,0.006270300364947975,0.024969314501336794,0.024969314501336794,0.015507553337851717,0.020474567021962688,0.011770949968371075,0.009874342083346496,0.009745579294709662,0.006081897210921166,0.009874342083346496,0.005829823505498552,0.01515837444416365,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013828270052019509,0.009116064478652295,0.008816700659901935
8,100,a,a,False,informed,0.016795676135306515,0.01812529491593098,0.014373220713681759,,,0.06008730490316837,0.04552801335441733,0.021599890350598897,0.051894097626040775,0.05850056230049148,0.02835169167885105,,,0.02657358205357147,0.03061365436097643,0.042197326681733836,0.09131107905339163,0.029138688335179685,0.029138688335179685,0.012534058862912183,0.025156091655271492,0.03465054871594085,0.026535527327082004,0.010970774573239648,0.00988938825206087,0.01064387642088906,0.00988938825206087,0.00988938825206087,0.011138364237837437,0.039412628219365115,0.0541017316582478,0.016929886373853127,0.07043763572349508,0.08057979046621395,0.0032265347225451475,0.06104562573233749,0.017195776715289886,0.03106597394002166,0.029469832925070664,0.022453695042300548,0.022091377217557506,0.023154174342301284,0.021899951934578304,0.027912268572119026,0.024047048183005522,0.025795705476932197,0.0034883263970895196,0.06659925319638194,0.050259615471752506,0.00785794937760815,0.11008631780753252,0.05191214744769839,0.0034883263970895196,0.07381946327287092,0.050783622515427895,0.019979660710464132,0.015736648476189545,0.0034883263970895196
9,100,a,b,False,informed,0.0188692872149427,0.0197144750454023,0.01688163125068815,0.039619605726139366,0.039619605726139366,0.05528595519754779,0.04630005115377417,0.020974357778261652,0.08161544938887104,0.03048709822030848,0.030179463215902314,0.04196900485383293,0.04196900485383293,0.036203372916433024,0.029304391623458974,0.024480443322439174,0.022187004256878327,0.022187004256878327,0.022187004256878327,0.01668682114724071,0.01723185544580914,0.02053084970169732,0.08177929219294419,0.011128318547031734,0.011128318547031734,0.011118855488242561,0.011128318547031734,0.011128318547031734,0.11903864918588417,0.045553207755789325,0.04759190554794177,0.02174493286407564,0.07091750210817609,0.04986874878381408,0.0036906710272766176,0.13376940095395115,0.018599589695531056,0.0397364122202842,0.03632947025978667,0.032351505112450885,0.022170656546343093,0.02206926894074535,0.02217672242563944,0.026873322061042055,0.025880856118959676,0.024608870173741595,0.015439373983612396,0.03550644451841355,0.02437223518582602,0.010025406322430215,0.15729067590021414,0.03966526608171604,0.003572146962000404,0.04607551645260493,0.04910902062180376,0.019979660710464132,0.015736648476189545,0.0034883263970895196
