Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,3.0664850157182064,2.255748768417265,2.8139689546466506,6.183561070298287,6.183561070298287,6.612764828462071,5.428952925093288,4.679033903149493,3.5551522374727185,3.950726206916502,3.669912281146779,4.95289812427479,4.95289812427479,4.249950711877678,4.77329231670484,4.294972100113722,3.6866982671807618,3.676860939153747,3.676860939153747,2.9349315301098295,5.525127164600424,7.795484486788935,4.030872002508408,9.326200004908694,9.44209390034696,3.699261250461619,9.447120818544601,8.95184032872749,10.307209512158451,3.833471530155534,2.748143803059468,11.100037096909114,4.890898355564695,4.335924267825297,13.794734942089054,4.4765580991950165,3.088007179867713,3.6765764900738573,3.473636798498398,3.4041999002012218,4.061153231738997,4.009876178607614,3.962757884542019,4.283307441510825,4.093408966339093,3.7984681698752554,8.750723905719195,5.6654476892134555,3.5658859185371385,6.958994329732794,3.062370916657599,2.2381536948078766,8.726565189321077,4.973097075679503,2.645638943859569,4.898815757368227,9.466237249413016,13.684248568594636
1,10,a,b,False,informed,3.0667702584212235,2.2114298128710086,2.8115151413642323,4.474095103403845,4.474095103403845,4.120557981717247,5.934189204292813,5.590265460765188,3.5620929828821546,3.6718745817583147,3.3514249158882414,4.975703029971575,4.975703029971575,3.6784842963410167,5.481687506740549,6.03443887032513,3.6753870598469787,3.6753870598469787,3.6753870598469787,3.0912959692808863,5.21118894131088,6.8692837405787355,3.709434256190979,8.954563381171736,9.405923609436352,3.701387775652928,9.441270984488103,9.109649486288628,10.30031757333535,3.931515622725418,2.769581252017865,11.40507075914381,4.865667184564601,4.416547281436655,13.802807991983551,4.200143495963976,3.0858873498856814,3.7728991287657565,3.6335598314545727,3.5930484189513274,4.082220013553159,4.054433210917025,4.0033107546597275,4.149017151275149,4.016375314580139,3.792726095580726,8.91344050203975,5.514002890588428,3.5494034018573397,7.094011521883647,3.2432558642039404,2.3481686193411715,8.840524249408489,5.2524288869668005,2.863827031785379,4.898815757368227,9.466237249413016,13.684248568594636
2,10,b,a,False,informed,2.528667445969348,2.2462993459126688,2.3699514630915073,5.0939899784583345,5.0939899784583345,5.731397035015915,4.391925546880609,5.622654077188265,4.040915451518231,4.037714408731374,5.960909762528215,4.470680387422099,4.470680387422099,4.043140901927489,,,,,,3.045954142736242,4.896177567750579,8.02442351838706,4.879814383706938,9.228100843562293,9.417670813078342,5.2051586681550175,8.682402402971618,8.611473011876019,26.709374089909222,3.7815721353313143,2.8395161175566996,26.580476899510824,7.633271517310912,6.322033232546087,27.125511945718113,9.049036986267208,7.760272989618869,2.4864054159906517,2.4658185818646237,2.425762289853856,2.379756564398207,2.3907671018295154,2.3527803431537855,2.622763431371601,2.5095187711684956,2.381355061436764,9.466237252344715,6.916739477618063,2.6245970953622217,2.710508549126474,3.405446408711075,2.1149112556651906,9.466237252344715,4.4170056995172455,2.3182420139849502,6.533568526899214,9.466237249413016,26.897843149248093
3,10,b,b,False,informed,2.534924000146278,2.2463797465083486,2.3711880354210253,6.30432533166654,6.30432533166654,7.111600395835282,5.241465904011903,4.709854383143533,5.0991948043175315,4.533939132070853,4.553279785011788,5.691446647139719,5.691446647139719,5.2386014345051715,,,4.927278944946059,,,3.063751467691156,5.06921788645819,8.057110598511388,5.204118256172437,9.21292096270805,9.348216169227431,5.204118256172437,9.157919871364559,8.535160461508818,26.68062653794677,3.6168245078361885,3.3086417560062755,26.260995456486352,7.027681551766529,6.395400187071596,27.118408078794154,8.02082715821835,7.3874731689193975,2.505365092769719,2.500819455848547,2.4616553143843274,2.368649459693133,2.3665113397216904,2.3349681461432743,2.5262956031727786,2.498149170402141,2.379890705779202,9.619905227147127,11.397662451783741,3.1829830577236224,4.241891855152468,5.35720106335893,2.1519426973903544,9.336410092558562,5.563388128012361,2.521129117740906,6.533568526899214,9.466237249413016,26.897843149248093
4,10,a,a,True,informed,2.9058066821537314,2.8405581843061323,2.739312285230296,3.712205318174091,3.712205318174091,5.299295079130447,5.004060276615998,4.837472194762336,,,,4.354215011704786,4.354215011704786,4.838830258079756,5.461687424741379,5.103420730426913,3.6753870598469787,3.6753870598469787,3.6753870598469787,7.934381954418484,3.9276444603065164,2.8638142875157273,3.709970946719422,8.633045443985775,8.82176405697135,3.699261250461619,9.451173050735722,7.271834211791619,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.523153374821406,9.466237249413016,3.6753870598469787
5,10,a,b,True,informed,2.9090261502760404,3.5724753400175553,2.7380611201916794,3.39925140360425,3.39925140360425,4.451238126383014,4.043829956796115,6.263415416210802,,,,3.7645973546779556,3.7645973546779556,3.192666631170375,4.280782195077796,3.944493571086039,3.6753870598469787,3.6753870598469787,3.6753870598469787,7.949533598774842,4.2677062762428,3.1258435319097266,3.700874836065041,8.87649549906731,8.223145853974252,3.701387775652928,9.390274738302429,7.4617911395229,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.523153374821406,9.466237249413016,3.6753870598469787
6,10,b,a,True,informed,3.006407944352838,2.8225630672797855,2.830563175509913,4.372235951132577,4.372235951132577,4.558562255280718,4.997588956625175,6.434331973421896,,,,4.729668431407573,4.729668431407573,3.639365583271375,,,5.161041259115351,5.032593166490014,5.032593166490014,2.848870812879145,3.6853590975147825,2.69131283595683,5.2051586681550175,8.252926939895142,9.037044126184844,5.2051586681550175,9.366240149831109,3.066364268611623,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.341009641237641,9.466237249413016,5.16555639738103
7,10,b,b,True,informed,3.0179890183289415,2.812900693252218,2.8308265848297913,4.331682926781792,4.331682926781792,3.895713291006266,4.902733764390701,5.1217323668264605,,,,5.279291497641098,5.279291497641098,4.8210569645706745,6.325190676781418,4.975766933193847,5.154405087744816,5.194263113900486,5.194200455716722,2.8642057033012596,3.629152252268434,2.689840505645308,5.204118256172437,8.371575586666003,9.000634381725437,5.204118256172437,9.404435975179005,3.158083858627032,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.341009641237641,9.466237249413016,5.16555639738103
8,100,a,a,False,informed,3.0572744225849053,2.1808021097827774,2.7935154138197538,,,5.927871370758453,5.473774662208287,5.339211038391403,4.063611826598585,3.4991020900634373,3.495974905339748,,,4.739235614648889,5.032711857869224,4.858947573601612,4.049478029299664,3.700813272807609,3.700813272807609,3.3341322931881976,5.642849931555043,7.490795143016991,4.067412909532531,9.268791129179274,9.42580364539552,3.6991594121956313,9.431917772167369,9.431917772167369,11.00299744100062,4.043168699901543,3.1900027197863303,11.920955031412316,4.796201068923638,4.212595684891632,13.821600083942366,8.300128026285051,3.5986323658402655,3.11843591695449,3.0704594216854444,3.101753796068645,3.862686820582155,3.8537834783923857,3.8693730614919475,4.003696714570173,3.9627581539823806,3.924586686592105,13.70415333358921,7.858986099565259,8.721717583700336,9.690177458167248,3.7081300978532745,4.809644693015043,13.70415333358921,7.733340293743941,8.766635479226078,4.881119840456416,9.423550217792304,13.704153323008143
9,100,a,b,False,informed,3.056050287226671,2.1718415062219543,2.7896740077321245,4.75868514570671,4.75868514570671,5.32925790321365,7.458940049084196,7.317478126980985,4.050189672665425,3.8879218140255056,3.8048084639971718,5.084008830943254,5.084008830943254,3.679971029463381,6.541548019178694,6.77782825779852,3.6725642244684416,3.6725642244684416,3.6725642244684416,3.4555211006384745,5.368570484555956,6.922911467262523,3.717525819226779,9.306395937651288,9.410462640936183,3.701540172990574,9.42089614726597,9.42089614726597,10.136886696525943,4.118081861342701,3.3581887565894872,11.54820606294378,4.9324296372577745,4.355445200717549,13.835657524402297,6.543657054296044,3.5316276650213796,3.244548614485685,3.1643583976158154,3.1623090257666093,3.9095088502922324,3.9173240401824514,3.9235791002122675,4.098819628303102,4.065132355235111,4.033165805210718,13.543499128024834,9.16511332647783,9.227547224652156,10.15014632206222,4.168472812171039,5.172235630303545,13.705286303777843,9.255855287760738,9.337827641069275,4.881119840456416,9.423550217792304,13.704153323008143
