Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,3.0677016872204024,2.2618148106148537,2.8049583179759168,6.435590176880004,6.435590176880004,6.887783177624875,5.480223713383655,4.888506876509437,3.591538367644228,3.8746052109152784,3.472439786769404,5.209334381634278,5.209334381634278,4.138883225092302,4.809564348032578,4.210177665740564,3.6794442138878445,3.672666451338931,3.672666451338931,2.9254610354694535,5.528649083510638,7.889062533822222,3.7136207478916985,9.32283734772141,9.425536359411755,3.7079460435724587,9.425536359411755,8.964561574906773,10.251718138043508,3.8606312183074456,2.7243202373246627,11.123205148529408,4.542403230572507,4.121970088500365,13.812773260918446,4.392491623763342,3.11166682546384,3.715770989757889,3.5052075232967876,3.4230456206729434,4.05674718901748,4.055030690519115,3.9866053129180914,4.3010652700302465,4.123930363695916,3.84748660270519,8.743703862219487,5.7508709828911035,3.4658142042574673,6.987993070571511,3.0375435318331236,2.2376421761296434,8.624751304777455,4.906473347469768,2.6483405870884447,4.927351068768817,9.454903560152342,13.669707696916102
1,10,a,b,False,informed,3.068322895102532,2.2189414886156054,2.8046214450606204,4.41437440964488,4.41437440964488,4.069261858268279,6.122890463557482,5.382313153917532,3.403730257004037,3.5589275256524893,3.300019274422262,5.011694634644311,5.011694634644311,3.6822505215540073,5.469374416758861,5.962994404459548,3.6686810570276034,3.6686810570276034,3.6686810570276034,3.068539834975938,5.35850755533508,6.904576770082789,3.7182765789627394,9.133189502496377,9.435515656757115,3.705231016650568,9.421640554858271,9.163534740509313,10.306023290031405,3.8558934760295056,2.7813238184207107,11.518427261734356,4.688806894595828,4.082543864008635,13.81562869025321,4.06040194036973,3.0887672354355713,3.730080277486428,3.6251592944795132,3.5687241412457906,4.081825442324124,4.064257964283546,4.000778620189662,4.1266206439338875,4.037033130652743,3.785424828201587,8.946598868681905,5.381683255247209,3.312092408512846,7.1411291514470046,3.2586757791498457,2.317531048724632,8.774988994464959,5.052632225619877,2.759185729490667,4.927351068768817,9.454903560152342,13.669707696916102
2,10,b,a,False,informed,2.533299692844846,2.2527374157836912,2.374481057480981,4.844249126212498,4.844249126212498,5.398026811042181,4.376795420448296,5.782768509586591,4.073229064366636,4.011172341322443,5.6991377975264985,4.512212590388513,4.512212590388513,3.9905301856552104,,,,,,3.0380109675892406,4.732737212923094,8.198956257181838,5.185603757782045,9.323456637352628,9.406188275009214,5.2154899190996,8.646211399514797,8.588658172027875,26.72128538265518,3.8426349352897335,2.634359261141675,26.699087047587874,7.471909681651808,6.014947364576628,27.150955029340135,9.04349792314683,7.713186714434214,2.497169270788488,2.468067470145601,2.436641884127724,2.3849599933809884,2.398616053861784,2.359609490369846,2.6274207706610615,2.513971155503603,2.3868237182383645,9.45490353961617,5.781900589133254,2.591626048422373,2.7169460285439997,3.233126537939138,2.1250107099471864,9.45490353961617,4.413039297854638,2.321583444582118,6.574766520036171,9.454903560152342,26.994212641246286
3,10,b,b,False,informed,2.5361391158621203,2.255436364967224,2.372768946570801,6.337699588518222,6.337699588518222,7.110705072359677,5.338503352159664,4.463610925821464,5.253798637335533,4.502288395277592,4.544681300437873,5.676701921726268,5.676701921726268,5.395781334240683,,,4.927278944946059,,,3.060331609539349,4.9593070592218025,8.101851680890082,5.197816412947082,9.27454278714719,9.38962093401381,5.197816412947082,9.174520883136179,8.526155061155634,26.739113898241037,3.4729521739436056,3.017683328934644,26.668781213315405,7.10508531542537,6.202761103573815,27.088358214686608,8.0577158600169,7.38355384973481,2.5019847488483915,2.4978366256883664,2.468636084027879,2.3698316636231533,2.361308660642594,2.335022811030325,2.534908170258487,2.495852051702175,2.384719425559991,9.45490353961617,8.69429448613582,3.151967703259337,2.575891006628156,4.388638187891116,2.155388310066841,9.297705755739173,5.102264831463026,2.5068531186415415,6.574766520036171,9.454903560152342,26.994212641246286
4,10,a,a,True,informed,2.915024907105268,2.8421893136925602,2.7534254703291414,2.8719203006452245,2.8719203006452245,5.729108035874555,4.9093410900181285,4.719241691239361,,,,4.234662720958819,4.234662720958819,4.874836417381416,5.778364781665605,5.316130655379192,3.6686810570276034,3.6686810570276034,3.6686810570276034,8.097436862047555,3.9474259200547195,2.8666172672840693,3.706763650781716,8.62985771564204,9.060356631719145,3.7079460435724587,9.425536359411755,7.251387105874584,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.522369713504649,9.454903560152342,3.6686810570276034
5,10,a,b,True,informed,2.922219163535275,3.546247256350222,2.7522450347904237,3.5548548893798957,3.5548548893798957,4.313477048858985,3.9332485382093703,6.3433829311927905,,,,3.7364463961189145,3.7364463961189145,2.915817425231655,4.147670145189284,3.912301487347482,3.6686810570276034,3.6686810570276034,3.6686810570276034,7.9359605868078535,4.315580340252724,3.0964766468912,3.705231016650568,9.164086809914537,8.137140380857101,3.705231016650568,9.3648096238996,7.440986334273843,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.522369713504649,9.454903560152342,3.6686810570276034
6,10,b,a,True,informed,3.0184280311153096,2.8290982224354906,2.8362303799071205,4.408592768894989,4.408592768894989,4.362239169728825,4.89807563469973,6.5740044813736525,,,,4.623814252863489,4.623814252863489,3.6313221182651665,,,5.161041259115351,5.032593166490014,5.032593166490014,2.8466131674635733,3.707948162028501,2.6901987503055196,5.2154899190996,8.378694864210544,9.358928431984785,5.2154899190996,9.331751990702614,3.0451040390832116,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.357940263978236,9.454903560152342,5.166847687821853
7,10,b,b,True,informed,3.0150422565559465,2.8161479768475286,2.8364436134296986,4.006675460808262,4.006675460808262,3.705272336045895,4.826926644391265,5.033816512090618,,,,5.232896491805272,5.232896491805272,4.776370064286221,6.325190676781418,4.975766933193847,5.144247157229736,5.2198000547431755,5.2198000547431755,2.863897004543162,3.611217315300492,2.6929265012299832,5.197816412947082,8.4306682785915,9.20834022704526,5.197816412947082,9.359924552820459,3.1133518164946956,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.357940263978236,9.454903560152342,5.166847687821853
8,100,a,a,False,informed,3.0650701366648905,2.183758771920936,2.7897892930859394,,,5.941201600305115,5.564727930651625,5.4100128969383885,4.152556199141408,3.362504623620749,3.3909800783283495,,,4.75185549045522,5.060503097451399,4.864345301623745,3.7485877513367782,3.7051876785227957,3.7051876785227957,3.3067605620787672,5.615732407658803,7.554818159090507,3.7048142938969395,9.382133387316618,9.426102160244358,3.703546138739074,9.426102160244358,9.426102160244358,10.921711467191376,4.085065167915114,3.1955918094534628,12.140591560330583,4.707429109014448,4.224638834052383,13.827902992078638,9.067218814690825,3.6126874481451954,3.069524288696793,3.0210818152202723,3.078899595489661,3.862183216433545,3.8509921301520995,3.8650259724383593,3.9974570679126433,3.9773014871189827,3.932945336404913,13.810245499990469,7.884063231733387,8.819712663307445,9.711302302178032,3.4725125964598513,4.7135623542759255,13.810245499990469,7.5418975298903845,8.83252272167411,4.905498981247847,9.37225648927582,13.81024550188079
9,100,a,b,False,informed,3.029445880930287,2.173902559889279,2.786064809176165,4.723733841141158,4.723733841141158,5.148186785300782,7.406952373622666,7.272311159007199,3.9472252701487776,3.7271909103928422,3.7150731419989,5.0389379121247195,5.0389379121247195,3.7420570758522427,6.646389912271173,6.839378272222099,3.6890893190196934,3.6890893190196934,3.6890893190196934,3.4421166415896067,5.451751325681059,6.943872875115775,3.7071279742807475,9.30169396507477,9.402872224175564,3.702823759851671,9.402872224175564,9.402872224175564,10.855872392245601,4.079174542330196,3.2321023594151157,11.519128330372872,4.815881006041424,4.187660475627519,13.820963514157413,6.556637437385975,3.5339718369218307,3.1970497881758453,3.1237369216016564,3.1363068778197976,3.894711282099308,3.898933235816098,3.9081853796746753,4.058522373119293,4.022247215622142,4.00116038372352,13.836714357201986,9.370157328166105,9.205371204098215,10.193505317964659,3.717793556492595,5.097845574878357,13.836714357201986,9.216786936775927,9.365981977479514,4.905498981247847,9.37225648927582,13.81024550188079
