Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
0,10,a,a,False,informed,0.06823452578803635,0.046198971791142636,0.059531109424112987,0.875446250043251,0.875446250043251,1.3352568648792178,1.2655805357050762,0.7442142353694167,0.479174538957853,0.8098807185624872,0.7213747598707612,0.8199128343346312,0.8199128343346312,0.47786440256408025,0.9209444498157567,0.8581935979349266,0.08730418341734633,0.08485762714643515,0.08485762714643515,0.09346411314644286,0.4278265308789545,0.4391731650718909,0.8663163806557579,0.22359689663376212,0.16176173687592243,0.03684132939911709,0.17143847233216605,0.24386138289753392,0.6204816021090529,0.37033792188591863,0.1786220447610202,1.004181371371546,0.9197834017232274,0.9885048515647541,0.156377252967141,0.8417150992564083,0.10317254877867284,0.2354007233415095,0.2039578732278148,0.20417110524232915,0.1765461190578481,0.17870428091850116,0.17678911765730804,0.2151238446932728,0.1866448050770754,0.19876339838094104,0.7456839018902685,0.49142264808284186,0.40780056147564203,0.5620430310864244,0.12475000819576101,0.07974125902025583,0.7154002853482835,0.4293758528384807,0.1738731011840303,0.15902324573720208,0.2738005623947624,0.3833656921173525
1,10,a,b,False,informed,0.06881936212043951,0.03996110215595037,0.05837922055440418,0.47081303389101153,0.47081303389101153,0.3545565018421016,0.8790448534524077,0.8916263164648899,0.5636019790828201,0.36972839756008247,0.28070733329040415,0.6263896375261778,0.6263896375261778,0.08839694449150266,0.7233929315165716,0.4673268493743638,0.08580309751342176,0.08580309751342176,0.08580309751342176,0.161742142842081,0.5191540998030375,0.453093942337527,0.36416156728268045,0.5520693088983536,0.14462833927764696,0.03850188253876075,0.1851527183172275,0.24419348537657748,0.5512831051245157,0.35233916587021397,0.15097110562377802,1.0481340850504535,0.8404577510832559,0.7419115848999844,0.1666809035737293,1.0835412831104823,0.10085190893293769,0.22446212044011105,0.1867375957354015,0.19019564773578257,0.15408000349777132,0.16373852749728138,0.1545994029174002,0.16454866740374838,0.146874269495594,0.12714571860792032,0.3314955889995928,0.7363868898777238,0.7387152322628427,0.37018580610865776,0.19531216625001632,0.13521647780967447,0.5098331403876951,0.5626310725099094,0.4516030589100723,0.15902324573720208,0.2738005623947624,0.3833656921173525
2,10,b,a,False,informed,0.043342235446003984,0.03715970412157927,0.03885424037423272,0.5750567707131105,0.5750567707131105,0.9080255693359339,0.16659348678010383,0.7415837099135603,0.3369365925072892,0.2462209054069338,0.7666217137618122,0.2603651222244662,0.2603651222244662,0.30319420621772675,,,,,,0.05479486284060229,0.624659353784005,0.6037871874862528,0.7967358190738235,0.34215556479380355,0.17564575800151294,0.06956989995826475,0.43143809650608045,0.22721288572809148,0.48070732891092893,0.4711818233347407,0.5736861294157909,0.6952701465473978,1.457457718883873,1.468313452578858,0.46339369725054325,0.4101763713691347,0.7515337187060678,0.044845368918961855,0.04804951882341687,0.04705265526867167,0.05210163814729993,0.0515520752245362,0.04666682138786753,0.08702755371989832,0.04559380008067212,0.0452653833645034,0.2738005712727851,2.742591465239676,0.1438510526058019,0.09965953762555757,0.8810428289115003,0.040285787130615355,0.2738005712727851,0.6758994986319037,0.07506131524277655,0.16725572123185978,0.27380056239476225,0.8399054279201326
3,10,b,b,False,informed,0.042006320021234174,0.037377619815107746,0.03872507878118937,0.8181231655327955,0.8181231655327955,1.1263688411765167,0.5684770868063799,0.6718098442282886,0.9619763016510894,0.620005823629134,0.9741620987928017,0.6162277313210782,0.6162277313210782,0.43877042491149415,,,0.46696796009358343,,,0.06394387120120426,0.6318083985482392,0.49470834607138425,0.06719534133311597,0.33844292576781876,0.20795992414831127,0.06719534133311597,0.23903260048503003,0.2511170671984795,0.44590589084016585,0.4474863418097371,0.9283464670746138,1.2156942499450087,0.9868587546048074,1.5575038256478568,0.44213007359335266,0.7077502189883835,0.6248094696603229,0.05330864543717097,0.05605319574385971,0.05578642026067488,0.04646351468113283,0.048989261555950556,0.04567760721638796,0.04864049063936977,0.04302773383526112,0.03969180625777585,0.8061760004231068,5.210862227343978,0.2552502775437511,3.082691884933358,2.7284939035937144,0.04553541834900495,0.32470286608690474,1.7576873971457658,0.09879803118572582,0.16725572123185978,0.27380056239476225,0.8399054279201326
4,10,a,a,True,informed,0.06241474359384203,0.05175652754463226,0.048389573677549765,1.7488218493787944,1.7488218493787944,1.8641008788200304,0.9345124435346864,0.44994376542313663,,,,1.2110091414041417,1.2110091414041417,0.39272154124214526,0.8663714824472717,1.1872786960808195,0.08580309751342176,0.08580309751342176,0.08580309751342176,0.8015123082710361,0.19690973498120828,0.06050613927151524,0.06316972559608926,0.6403718411607637,0.6292177952956997,0.03684132939911709,0.1785819702348736,0.5099241766255446,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335220073230612,0.2738005623947624,0.08580309751342174
5,10,a,b,True,informed,0.06215130585602194,0.09017265956798776,0.047558063970347286,0.3637234886551885,0.3637234886551885,0.9405039221675002,0.4157607422399278,0.5563460309272067,,,,0.16903024953136797,0.16903024953136797,0.4183485238200829,0.4521003373962924,0.5230029978298414,0.08580309751342176,0.08580309751342176,0.08580309751342176,0.3954290915364008,0.22888246048130184,0.11586970177904922,0.03784714021941646,0.5746091331968948,0.9315379127516152,0.03850188253876075,0.19471316699671876,0.22005742904485376,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335220073230612,0.2738005623947624,0.08580309751342174
6,10,b,a,True,informed,0.047213043433065045,0.049623881635247044,0.04704367390088481,0.31441274094095467,0.31441274094095467,0.6883707642852415,0.4412819653143409,0.6591417994292442,,,,0.30854541344695874,0.30854541344695874,0.07718461761151928,,,0.18024223664280575,0.04594508916912228,0.04594508916912228,0.027832584615730734,0.15048133733323069,0.024392452749702163,0.06956989995826475,0.7444780251890334,0.6867983454539138,0.06956989995826475,0.16189966073669684,0.17488261340396422,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09840902556039616,0.27380056239476225,0.13794129800039628
7,10,b,b,True,informed,0.0527183842069934,0.04941406527899535,0.0472106233751222,0.6820012263596625,0.6820012263596625,0.5933850308283163,0.5216698016651568,0.6292228264140134,,,,0.5737050342476502,0.5737050342476502,0.259523734064733,,,0.15055895566300048,0.15627829580705793,0.1563937066446184,0.031052642225213964,0.17500230386207918,0.02438141204315999,0.06719534133311597,0.5812780342513553,0.7039798513076683,0.06719534133311597,0.17935756797719582,0.20048245609181256,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09840902556039616,0.27380056239476225,0.13794129800039628
8,100,a,a,False,informed,0.09024956354565918,0.05368481085572741,0.07290798082594556,,,0.7576388105762366,0.8187525564569711,0.36073918939687644,0.414433082827712,0.49862349219618946,0.2471147018107795,,,0.23120336418361975,0.2219922099464852,0.33475618732399054,0.6976539604497463,0.1544459141452906,0.1544459141452906,0.1452589647843894,0.434038822655686,0.5957359120734961,1.142904256390565,0.41519096762915597,0.18719335425354067,0.02413271284862728,0.18124443756947822,0.18124443756947822,0.4840369431883543,0.28440518272443777,0.2893452258132067,0.7782708337137398,0.7138139125321001,0.7013240045611653,0.11472630022006679,1.6479793212281457,0.06103942437008379,0.17471363346282132,0.16300121595998207,0.17524903755502283,0.1379197486696363,0.1408629875459898,0.1410289447839202,0.180232881519863,0.16364810090951962,0.1711654136562514,0.4137000914084833,1.162362637181314,0.6528214473528039,0.39647859656261003,0.6753162551115417,0.6226489167315056,0.4137000914084833,1.1697861187569671,0.6938268235128392,0.1806567925251034,0.4194058343198736,0.4137000927835863
9,100,a,b,False,informed,0.09393280811004212,0.06113701711994775,0.07880620670689735,0.5409669781601141,0.5409669781601141,0.8906620383958977,0.751519732256939,0.45926631838589843,0.4391022673753266,0.43693156266067956,0.25186408864073817,0.5239739894043416,0.5239739894043416,0.15907119396075198,0.46290594259501294,0.2842444149434923,0.09827880125598855,0.09827880125598855,0.09827880125598855,0.2273245648730918,0.33687914004483815,0.3428532969863256,0.6590615789507196,0.2835248693764399,0.2066843696873189,0.0340105969365441,0.2028209016807814,0.2028209016807814,1.7789301912681479,0.4335025836395063,0.3508643718785274,1.163738121028812,0.7260324698187219,0.7559205637311851,0.15668079810478888,2.4197088568542475,0.0694053957039162,0.18492492106143787,0.15482229011420592,0.1517666354865854,0.14731909637308785,0.14968824956581545,0.14680768993628765,0.1683296411661485,0.1570213045254183,0.16302687722540957,0.7809309697413359,0.49476989804900695,0.6461195880081857,0.4976700307086645,1.7415588604765693,0.4232298378597212,0.42500456016154803,0.7242805768650875,0.9403986690729651,0.1806567925251034,0.4194058343198736,0.4137000927835863
